Include in Dashboard?,Include in Dashboard? (Initial Decision),Decision Tree Group,Data Needed,Maximal List Name,"Reservoir Label not including ""Lake/Reservoir"" (typically equivalent to Maximal List Name)","Reservoir Label including ""Lake/Reservoir"" (typically equivalent to EAR Asset Name)","Dam Label, including Dam",Preferred Label for Map and Table,Preferred Label for PopUp and Modal,In Reservoir Conditions Visualization?,EAR OBJECTID,EAR Asset Class,EAR Asset Name,Reservoir/Lake/Pool Name Simplified,EAR Asset Type,EAR Dam Facility Name,EAR Dams Asset ID,EAR Dams Simplified Dam Name,EAR Project,EAR Interior Region,EAR Managing Region,EAR Reservoir Function,EAR Total Capacity,EAR Original Completion Date,RISE Location ID,RISE Location Name,RISE Region,RISE Reservoir Name,RISE Dam Name,Has Storage in RISE?,RISE Item ID for storage,RISE Storage Start Date,RISE Storage End Date,RISE Number of Results,Start Date Before 10/1/1990?,End Date After 9/30/2020?,Has  Storage for Full Averaging Period?,Completion Year Before 1990?,Completion Year Before Start Date of Storage Data?,Notes
Include,Include,Group A,,Alcova,Alcova,Alcova Reservoir,Alcova Dam,,,FALSE,2,Reservoirs,Alcova Reservoir,Alcova,Reservoir,Alcova Dam,5,Alcova,0144-Kendrick Project,7-Upper Colorado Basin,MB/ART,Instream Storage,"184,405","1,938",259,Alcova Reservoir Dam and Powerplant,Missouri Basin,Alcova,Alcova,Y,113,10/1/45,12/16/25,29301,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Alice,Alice,Lake Alice,Lake Alice Dams,,,FALSE,202,Reservoirs,Lake Alice,Alice,Reservoir,Lake Alice Dams,316,Lake Alice,0020-North Platte Project,5-Missouri Basin,MB/ART,Conveyance (used for water conveyance),11034,1912,266,Lake Alice and Dams,Missouri Basin,Alice,Alice,Y,134,9/30/90,12/16/25,12863,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Alice 2,Alice 2,Lake Alice 2,Lake Alice Dam 2,,,FALSE,203,Reservoirs,Lake Alice 2,Alice 2,Reservoir,Lake Alice Dam 2,318,Lake Alice,0020-North Platte Project,5-Missouri Basin,MB/ART,Conveyance (used for water conveyance),"1,166","1,909",394,Little Lake Alice Reservoir,Missouri Basin,Little Lake Alice,#N/A,Y,515,4/19/90,12/15/25,13026,OK,OK,OK,TRUE,TRUE,RISE Location is Little Lake Alice Reservoir
Include,Include,Group A,,Anchor,Anchor,Anchor Reservoir,Anchor Dam,,,FALSE,6,Reservoirs,Anchor Reservoir,Anchor,Reservoir,Anchor Dam,16,Anchor,0339-Pick-Sloan Missouri Basin Program-Bighorn Basin Division-Owl Creek Unit,7-Upper Colorado Basin,MB/ART,Instream Storage,"17,228","1,960",262,Anchor Reservoir and Dam,Missouri Basin,Anchor,Anchor,Y,125,10/1/61,12/16/25,23273,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Angostura,Angostura,Angostura Reservoir,Angostura Dam,,,FALSE,10,Reservoirs,Angostura Reservoir,Angostura,Reservoir,Angostura Dam,19,Angostura,0454-Pick-Sloan Missouri Basin Program-Cheyenne Division-Angostura Unit,5-Missouri Basin,MB/ART,Instream Storage,"123,048","1,949",257,Angostura Reservoir and Dam,Missouri Basin,Angostura,Angostura,Y,105,10/1/51,12/16/25,27107,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Avalon,Avalon,Avalon Reservoir,Avalon Dam,,,FALSE,17,Reservoirs,Avalon Reservoir,Avalon,Reservoir,Avalon Dam,31,Avalon,0005-Carlsbad Project,7-Upper Colorado Basin,UCB,Instream Storage,"4,466","1,907",267,Avalon Reservoir and Dam,Upper Colorado Basin,Avalon,Avalon,Y,139,10/1/65,12/16/25,21993,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Belle Fourche,Belle Fourche,Belle Fourche Reservoir,Belle Fourche Dam,,,FALSE,25,Reservoirs,Belle Fourche Reservoir,Belle Fourche,Reservoir,Belle Fourche Dam,39,Belle Fourche,1459-Pick-Sloan Missouri Basin Program-Cheyenne Division-Belle Fourche Unit,5-Missouri Basin,MB/ART,Instream Storage,172873,1911,274,Belle Fourche Reservoir and Dam,Missouri Basin,Belle Fourche,Belle Fourche,Y,158,10/1/77,12/16/25,14171,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Berryessa,Berryessa,Lake Berryessa,Monticello Dam,,,FALSE,205,Reservoirs,Lake Berryessa,Berryessa,Reservoir,Monticello Dam,385,Monticello,0413-Solano Project,10-California-Great Basin,CGB,Instream Storage,"1,602,278","1,957",272,Lake Berryessa and Monticello Dam,California-Great Basin,Berryessa,Monticello,Y,10782,1/9/57,12/14/25,25173,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Big Sandy,Big Sandy,Big Sandy Reservoir,Big Sandy Dam,,,FALSE,27,Reservoirs,Big Sandy Reservoir,Big Sandy,Reservoir,Big Sandy Dam,42,Big Sandy,0153-Eden Project,7-Upper Colorado Basin,UCB,Instream Storage,"38,100","1,952",277,Big Sandy Reservoir and Dam,Upper Colorado Basin,Big Sandy,Big Sandy,Y,178,5/12/70,12/16/25,20309,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Bighorn,Bighorn,Bighorn Lake,Yellowtail Dam,,,TRUE,29,Reservoirs,Bighorn Lake,Bighorn,Reservoir,Yellowtail Dam,685,Yellowtail,0459-Pick-Sloan Missouri Basin Program-Lower Bighorn Division-Yellowtail Unit,5-Missouri Basin,MB/ART,Instream Storage,"1,263,682","1,966",275,Bighorn Lake Yellowtail Dam and Powerplant,Missouri Basin,Bighorn,Bighorn,Y,163,10/1/65,12/16/25,22115,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Blue Mesa,Blue Mesa,Blue Mesa Reservoir,Blue Mesa Dam,,,TRUE,33,Reservoirs,Blue Mesa Reservoir,Blue Mesa,Reservoir,Blue Mesa Dam,49,Blue Mesa,0622-Colorado River Storage Project-Gunnison Division-Wayne M. Aspinall Unit,7-Upper Colorado Basin,UCB,Instream Storage,"938,469","1,966",1533,Blue Mesa Reservoir Dam and Powerplant,Upper Colorado Basin,Blue Mesa,Blue Mesa,Y,76,1/31/66,12/16/25,21871,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Boysen,Boysen,Boysen Reservoir,Boysen Dam,,,TRUE,39,Reservoirs,Boysen Reservoir,Boysen,Reservoir,Boysen Dam,55,Boysen,0285-Pick-Sloan Missouri Basin Program-Boysen Division-Boysen Unit,7-Upper Colorado Basin,MB/ART,Instream Storage,"892,226","1,952",281,Boysen Reservoir Dam and Powerplant,Missouri Basin,Boysen,Boysen,Y,195,10/1/51,12/16/25,27113,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Brantley,Brantley,Brantley Reservoir,Brantley Dam,,,FALSE,40,Reservoirs,Brantley Reservoir,Brantley,Reservoir,Brantley Dam,57,Brantley,0963-Brantley Project,7-Upper Colorado Basin,UCB,Instream Storage,"384,035","1,989",282,Brantley Reservoir and Dam,Upper Colorado Basin,Brantley,Brantley,Y,203,1/1/88,12/16/25,13866,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Buffalo Bill,Buffalo Bill,Buffalo Bill Reservoir,Buffalo Bill Dam,,,TRUE,45,Reservoirs,Buffalo Bill Reservoir,Buffalo Bill,Reservoir,Buffalo Bill Dam,64,Buffalo Bill,0026-Shoshone Project,7-Upper Colorado Basin,MB/ART,Instream Storage,"646,565","1,993",269,Buffalo Bill Reservoir Dam and Powerplant,Missouri Basin,Buffalo Bill,Buffalo Bill,Y,145,10/1/51,12/16/25,27110,OK,OK,OK,FALSE,FALSE,
Include,Include,Group A,,Bull,Bull,Bull Lake,Bull Lake Dam,,,FALSE,46,Reservoirs,Bull Lake,Bull,Reservoir,Bull Lake Dam,68,Bull Lake,1236-Pick-Sloan Missouri Basin Program-Wind Division-Riverton Unit,7-Upper Colorado Basin,MB/ART,Instream Storage,"152,459","1,938",278,Bull Lake Reservoir and Dam ,Missouri Basin,Bull Lake Bull,Bull Lake Bull,Y,183,12/1/68,12/16/25,20836,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Caballo,Caballo,Caballo Reservoir,Caballo Dam,,,FALSE,51,Reservoirs,Caballo Reservoir,Caballo,Reservoir,Caballo Dam,73,Caballo,0023-Rio Grande Project,7-Upper Colorado Basin,UCB,Instream Storage,"324,509","1,938",286,Caballo Reservoir and Dam,Upper Colorado Basin,Caballo,Caballo,Y,209,2/8/38,12/16/25,32090,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Cachuma,Cachuma,Lake Cachuma,Bradbury Dam,,,FALSE,207,Reservoirs,Lake Cachuma,Cachuma,Reservoir,Bradbury Dam,56,Bradbury,0368-Cachuma Project,8-Lower Colorado Basin,CGB,Instream Storage,"193,305","1,953",292,Cachuma Lake and Bradbury Dam,California-Great Basin,Cachuma,Bradbury,Y,10787,11/17/52,12/16/25,26691,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Canyon Ferry,Canyon Ferry,Canyon Ferry Lake,Canyon Ferry Dam,,,TRUE,55,Reservoirs,Canyon Ferry Lake,Canyon Ferry,Reservoir,Canyon Ferry Dam,77,Canyon Ferry,0296-Pick-Sloan Missouri Basin Program-Helena-Great Falls Division-Canyon Ferry Unit,5-Missouri Basin,MB/ART,Instream Storage,"1,993,036","1,954",295,Canyon Ferry Lake Dam Powerplant and Helena Valley Pumping Plant,Missouri Basin,Canyon Ferry,Canyon Ferry,Y,13,3/27/53,12/16/25,26581,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Carter Lake,Carter Lake,Carter Lake Reservoir,Carter Lake (Dams),,,TRUE,61,Reservoirs,Carter Lake Reservoir,Carter Lake,Reservoir,Carter Lake (Dams),86,Carter Lake (Dams),0245-Colorado-Big Thompson Project,7-Upper Colorado Basin,MB/ART,Offstream Storage,"112,230","1,952",288,Carter Lake Reservoir and Dam ,Missouri Basin,Carter Lake Carter,Carter Lake Carter,Y,216,5/1/86,12/16/25,12183,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Causey,Causey,Causey Reservoir,Causey Dam,,,FALSE,63,Reservoirs,Causey Reservoir,Causey,Reservoir,Causey Dam,93,Causey,0526-Weber Basin Project,7-Upper Colorado Basin,UCB,Instream Storage,"7,870","1,966",289,Causey Reservoir and Dam,Upper Colorado Basin,Causey,Causey,Y,219,10/7/74,12/16/25,18700,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Choke Canyon,Choke Canyon,Choke Canyon Reservoir,Choke Canyon Dam,,,TRUE,67,Reservoirs,Choke Canyon Reservoir,Choke Canyon,Reservoir,Choke Canyon Dam,98,Choke Canyon,1012-Nueces River Project,6-Arkansas-Rio Grande-Texas Gulf,MB/ART,Instream Storage,"695,271","1,982",291,Choke Canyon Reservoir and Dam,Arkansas-Rio Grande-Texas-Gulf,Choke Canyon,Choke Canyon,Y,231,11/3/89,12/16/25,12822,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Clark Canyon,Clark Canyon,Clark Canyon Reservoir,Clark Canyon Dam,,,TRUE,68,Reservoirs,Clark Canyon Reservoir,Clark Canyon,Reservoir,Clark Canyon Dam,100,Clark Canyon,0699-Pick-Sloan Missouri Basin Program-Three Forks Division-East Bench Unit,5-Missouri Basin,MB/ART,Instream Storage,"251,436","1,964",294,Clark Canyon Reservoir and Dam,Missouri Basin,Clark Canyon,Clark Canyon,Y,238,10/1/63,12/16/25,22725,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Crawford,Crawford,Crawford Reservoir,Crawford Dam,,,FALSE,83,Reservoirs,Crawford Reservoir,Crawford,Reservoir,Crawford Dam,126,Crawford,0517-Smith Fork Project,7-Upper Colorado Basin,UCB,Offstream Storage,"14,395","1,962",3683,Crawford Dam and Reservoir,Upper Colorado Basin,Crawford,Crawford,Y,128733,10/28/74,12/16/25,18679,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Crystal,Crystal,Crystal Reservoir,Crystal Dam,,,FALSE,84,Reservoirs,Crystal Reservoir,Crystal,Reservoir,Crystal Dam,127,Crystal,0622-Colorado River Storage Project-Gunnison Division-Wayne M. Aspinall Unit,7-Upper Colorado Basin,UCB,Instream Storage,25273,1977,1534,Crystal Reservoir Dam and Powerplant,Upper Colorado Basin,Crystal,Crystal,Y,274,3/13/77,12/16/25,17812,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Currant Creek,Currant Creek,Currant Creek Reservoir,Currant Creek Dam,,,FALSE,86,Reservoirs,Currant Creek Reservoir,Currant Creek,Reservoir,Currant Creek Dam,129,Currant Creek,0066-Central Utah Project-Initial Division-Bonneville Unit,7-Upper Colorado Basin,UCB,Conveyance (used for water conveyance),"15,671","1,975",310,Currant Creek Reservoir and Dam,Upper Colorado Basin,Currant Creek,Currant Creek,Y,278,10/4/82,12/15/25,15780,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Deer Creek,Deer Creek,Deer Creek Reservoir,Deer Creek Dam,,,FALSE,92,Reservoirs,Deer Creek Reservoir,Deer Creek,Reservoir,Deer Creek Dam,136,Deer Creek,0244-Provo River Project,7-Upper Colorado Basin,UCB,Instream Storage,153445,1941,314,Deer Creek Reservoir Dam and Powerplant,Upper Colorado Basin,Deer Creek,Deer Creek,Y,290,1/1/50,12/11/25,27744,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Deerfield,Deerfield,Deerfield Lake,Deerfield Dam,,,FALSE,93,Reservoirs,Deerfield Lake,Deerfield,Reservoir,Deerfield Dam,141,Deerfield,0252-Rapid Valley Project,5-Missouri Basin,MB/ART,Instream Storage,"15,654","1,947",315,Deerfield Reservoir and Dam,Missouri Basin,Deerfield,Deerfield,Y,295,10/1/52,12/16/25,26741,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,East Canyon,East Canyon,East Canyon Reservoir,East Canyon Dam,,,FALSE,104,Reservoirs,East Canyon Reservoir,East Canyon,Reservoir,East Canyon Dam,153,East Canyon,0526-Weber Basin Project,7-Upper Colorado Basin,UCB,Instream Storage,"51,200","1,966",319,East Canyon Reservoir and Dam,Upper Colorado Basin,East Canyon,East Canyon,Y,310,4/26/83,12/16/25,15577,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Echo,Echo,Echo Reservoir,Echo Dam,,,FALSE,109,Reservoirs,Echo Reservoir,Echo,Reservoir,Echo Dam,165,Echo,0762-Weber River Project,7-Upper Colorado Basin,UCB,Instream Storage,"73,940","1,931",320,Echo Reservoir and Dam,Upper Colorado Basin,Echo,Echo,Y,314,1/1/67,12/16/25,21536,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Eden,Eden,Eden Reservoir,Eden Dikes,,,FALSE,110,Reservoirs,Eden Reservoir,Eden,Reservoir,Eden Dikes,166,Eden Dikes,0153-Eden Project,7-Upper Colorado Basin,UCB,Offstream Storage,14421,1910,321,Eden Reservoir and Dam,Upper Colorado Basin,Eden,Eden,Y,319,11/30/74,12/16/25,18646,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Edward Arthur Patterson,Edward Arthur Patterson,Edward Arthur Patterson Lake,Dickinson Dam,,,FALSE,111,Reservoirs,Edward Arthur Patterson Lake,Edward Arthur Patterson,Reservoir,Dickinson Dam,143,Dickinson,1111-Pick-Sloan Missouri Basin Program-Heart Division-Dickinson Unit,5-Missouri Basin,MB/ART,Instream Storage,"8,479","1,950",318,Edward Arthur Patterson Lake,Missouri Basin,Edward Arthur Patterson,#N/A,Y,304,10/1/51,12/16/25,27107,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,El Vado,El Vado,El Vado Reservoir,El Vado Dam,,,FALSE,112,Reservoirs,El Vado Reservoir,El Vado,Reservoir,El Vado Dam,169,El Vado,0163-Middle Rio Grande Project,7-Upper Colorado Basin,UCB,Instream Storage,"214,091","1,935",324,El Vado Lake and Dam,Upper Colorado Basin,El Vado,El Vado,Y,335,12/31/74,12/16/25,18615,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Elephant Butte,Elephant Butte,Elephant Butte Reservoir,Elephant Butte Dam,,,TRUE,113,Reservoirs,Elephant Butte Reservoir,Elephant Butte,Reservoir,Elephant Butte Dam,170,Elephant Butte,0023-Rio Grande Project,7-Upper Colorado Basin,UCB,Instream Storage,"2,357,104","1,916",323,Elephant Butte Reservoir Dam and Powerplant,Upper Colorado Basin,Elephant Butte,Elephant Butte,Y,329,3/21/15,12/15/25,40449,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Elwell,Elwell,Lake Elwell,Tiber Dam,,,TRUE,214,Reservoirs,Lake Elwell,Elwell,Reservoir,Tiber Dam,601,Tiber,0084-Pick-Sloan Missouri Basin Program-Marias Division-Lower Marias Unit,5-Missouri Basin,MB/ART,Instream Storage,"1,328,723","1,956",396,Lake Elwell and Tiber Dam,Missouri Basin,Elwell,Tiber,Y,525,10/1/55,12/16/25,25689,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Flaming Gorge,Flaming Gorge,Flaming Gorge Reservoir,Flaming Gorge Dam,,,TRUE,119,Reservoirs,Flaming Gorge Reservoir,Flaming Gorge,Reservoir,Flaming Gorge Dam,183,Flaming Gorge,0591-Colorado River Storage Project-Green Division-Flaming Gorge Unit,7-Upper Colorado Basin,UCB,Instream Storage,"3,791,700","1,964",1535,Flaming Gorge Reservoir Dam and Powerplant,Upper Colorado Basin,Flaming Gorge,Flaming Gorge,Y,337,12/2/62,12/16/25,23027,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Folsom,Folsom,Folsom Lake,Folsom Dam,,,TRUE,122,Reservoirs,Folsom Lake,Folsom,Reservoir,Folsom Dam,186,Folsom,0859-Central Valley Project-American River Division-Auburn-Folsom South Unit,10-California-Great Basin,CGB,Instream Storage,"977,000","1,956",334,Folsom Lake Dam and Powerplant,California-Great Basin,Folsom,Folsom,Y,10774,3/1/55,12/16/25,25129,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Fontenelle,Fontenelle,Fontenelle Reservoir,Fontenelle Dam,,,FALSE,123,Reservoirs,Fontenelle Reservoir,Fontenelle,Reservoir,Fontenelle Dam,198,Fontenelle,0154-Seedskadee Project,7-Upper Colorado Basin,UCB,Instream Storage,334459,1964,1536,Fontenelle Reservoir Dam and Powerplant,Upper Colorado Basin,Fontenelle,Fontenelle,Y,347,10/25/65,12/16/25,21969,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Fresno,Fresno,Fresno Reservoir,Fresno Dam,,,TRUE,135,Reservoirs,Fresno Reservoir,Fresno,Reservoir,Fresno Dam,210,Fresno,0015-Milk River Project,5-Missouri Basin,MB/ART,Instream Storage,"91,746","1,939",337,Fresno Reservoir and Dam,Missouri Basin,Fresno,Fresno,Y,354,10/1/47,12/16/25,28570,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Fruitgrowers,Fruitgrowers,Fruitgrowers Reservoir,Fruitgrowers Dam,,,FALSE,136,Reservoirs,Fruitgrowers Reservoir,Fruitgrowers,Reservoir,Fruitgrowers Dam,214,Fruitgrowers,0270-Fruitgrowers Dam Project,7-Upper Colorado Basin,UCB,Offstream Storage,"4,030","1,939",338,Fruitgrowers Reservoir and Dam,Upper Colorado Basin,Fruitgrowers,Fruitgrowers,Y,4820,11/25/74,12/16/25,18651,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Gibson,Gibson,Gibson Reservoir,Gibson Dam,,,TRUE,141,Reservoirs,Gibson Reservoir,Gibson,Reservoir,Gibson Dam,221,Gibson,0028-Sun River Project,5-Missouri Basin,MB/ART,Instream Storage,"98,688","1,929",342,Gibson Reservoir and Dam,Missouri Basin,Gibson,Gibson,Y,364,1/1/30,12/16/25,35116,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Glendo,Glendo,Glendo Reservoir,Glendo Dam,,,TRUE,143,Reservoirs,Glendo Reservoir,Glendo,Reservoir,Glendo Dam,227,Glendo,0449-Pick-Sloan Missouri Basin Program-Oregon Trail Division-Glendo Unit,7-Upper Colorado Basin,MB/ART,Instream Storage,"763,039","1,958",345,Glendo Reservoir Dam and Powerplant,Missouri Basin,Glendo,Glendo,Y,373,10/17/57,12/16/25,24902,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Granby,Granby,Lake Granby,Granby Dam,,,TRUE,216,Reservoirs,Lake Granby,Granby,Reservoir,Granby Dam,234,Granby,0245-Colorado-Big Thompson Project,7-Upper Colorado Basin,MB/ART,Instream Storage,"539,758","1,950",351,Lake Granby and Dam,Upper Colorado Basin,Granby,Granby,Y,383,10/1/53,12/16/25,24482,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Green Mountain,Green Mountain,Green Mountain Reservoir,Green Mountain Dam,,,TRUE,151,Reservoirs,Green Mountain Reservoir,Green Mountain,Reservoir,Green Mountain Dam,245,Green Mountain,0245-Colorado-Big Thompson Project,7-Upper Colorado Basin,MB/ART,Instream Storage,"153,639","1,943",353,Green Mountain Reservoir Dam and Powerplant,Upper Colorado Basin,Green Mountain,Green Mountain,Y,21,10/1/45,12/16/25,27254,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Havasu,Havasu,Lake Havasu,Parker Dam,,,TRUE,217,Reservoirs,Lake Havasu,Havasu,Reservoir,Parker Dam,457,Parker,0351-Parker-Davis Project,8-Lower Colorado Basin,LCB,Instream Storage,590262,1938,3515,Lake Havasu Parker Dam and Powerplant,Lower Colorado Basin,Havasu,Parker,Y,6129,10/1/38,12/16/25,31855,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Heron,Heron,Heron Reservoir,Heron Dam,,,FALSE,166,Reservoirs,Heron Reservoir,Heron,Reservoir,Heron Dam,262,Heron,0465-San Juan-Chama Project,7-Upper Colorado Basin,UCB,Offstream Storage,"428,360","1,971",365,Heron Reservoir and Dam,Upper Colorado Basin,Heron,Heron,Y,420,12/31/74,12/16/25,18615,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Horsetooth,Horsetooth,Horsetooth Reservoir,Horsetooth Dam,,,TRUE,169,Reservoirs,Horsetooth Reservoir,Horsetooth,Reservoir,Horsetooth Dam,268,Horsetooth,0245-Colorado-Big Thompson Project,7-Upper Colorado Basin,MB/ART,Offstream Storage,"156,735","1,949",369,Horsetooth Reservoir and Dam,Missouri Basin,Horsetooth,Horsetooth,Y,86,5/1/86,12/16/25,14373,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Hyrum,Hyrum,Hyrum Reservoir,Hyrum Dam,,,FALSE,177,Reservoirs,Hyrum Reservoir,Hyrum,Reservoir,Hyrum Dam,281,Hyrum,0188-Hyrum Project,7-Upper Colorado Basin,UCB,Instream Storage,"17,746","1,935",372,Hyrum Reservoir and Dam,Upper Colorado Basin,Hyrum,Hyrum,Y,439,1/31/74,12/16/25,18949,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Jackson Gulch,Jackson Gulch,Jackson Gulch Reservoir,Jackson Gulch Dam,,,FALSE,183,Reservoirs,Jackson Gulch Reservoir,Jackson Gulch,Reservoir,Jackson Gulch Dam,292,Jackson Gulch,0341-Mancos Project,7-Upper Colorado Basin,UCB,Offstream Storage,"9,980","1,949",378,Jackson Gulch Reservoir and Dam,Upper Colorado Basin,Jackson Gulch,Jackson Gulch,Y,4277,1/1/60,12/16/25,24093,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Jamestown,Jamestown,Jamestown Reservoir,Jamestown Dam,,,TRUE,186,Reservoirs,Jamestown Reservoir,Jamestown,Reservoir,Jamestown Dam,295,Jamestown,0769-Pick-Sloan Missouri Basin Program-Garrison Division-Garrison Diversion Unit,5-Missouri Basin,MB/ART,Instream Storage,"220,990","1,954",379,Jamestown Dam and Reservoir,Missouri Basin,Jamestown,Jamestown,Y,450,10/1/53,12/16/25,26376,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Keith Sebelius,Keith Sebelius,Keith Sebelius Lake,Norton Dam,,,TRUE,192,Reservoirs,Keith Sebelius Lake,Keith Sebelius,Reservoir,Norton Dam,424,Norton,0492-Pick-Sloan Missouri Basin Program-Kanaska Division-Almena Unit,5-Missouri Basin,MB/ART,Instream Storage,133740,1964,390,Keith Sebelius Lake and Norton Dam,Missouri Basin,Keith Sebelius,Norton,Y,488,7/1/64,12/16/25,22437,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Keswick,Keswick,Keswick Reservoir,Keswick Dam,,,FALSE,194,Reservoirs,Keswick Reservoir,Keswick,Reservoir,Keswick Dam,308,Keswick,0416-Central Valley Project-Trinity River Division,10-California-Great Basin,CGB,Instream Storage,"23,772","1,950",387,Keswick Reservoir Dam and Powerplant,California-Great Basin,Keswick,Keswick,Y,10794,10/1/74,12/16/25,18706,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Keyhole,Keyhole,Keyhole Reservoir,Keyhole Dam,,,TRUE,195,Reservoirs,Keyhole Reservoir,Keyhole,Reservoir,Keyhole Dam,309,Keyhole,0486-Pick-Sloan Missouri Basin Program-Cheyenne Division-Keyhole Unit,7-Upper Colorado Basin,MB/ART,Instream Storage,"329,134","1,952",388,Keyhole Reservoir and Dam,Missouri Basin,Keyhole,Keyhole,Y,477,10/1/51,12/16/25,27109,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Kirwin,Kirwin,Kirwin Reservoir,Kirwin Dam,,,TRUE,196,Reservoirs,Kirwin Reservoir,Kirwin,Reservoir,Kirwin Dam,310,Kirwin,0371-Pick-Sloan Missouri Basin Program-Solomon Division-Kirwin Unit,5-Missouri Basin,MB/ART,Instream Storage,"313,290","1,955",391,Kirwin Reservoir and Dam,Missouri Basin,Kirwin,Kirwin,Y,494,1/1/76,12/16/25,14744,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Lemon,Lemon,Lemon Reservoir,Lemon Dam,,,FALSE,241,Reservoirs,Lemon Reservoir,Lemon,Reservoir,Lemon Dam,325,Lemon,0519-Florida Project,7-Upper Colorado Basin,UCB,Instream Storage,"40,146","1,963",395,Lemon Reservoir and Dam,Upper Colorado Basin,Lemon,Lemon,Y,520,12/13/63,12/16/25,22651,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Lewiston,Lewiston,Lewiston Lake,Lewiston Dam,,,FALSE,243,Reservoirs,Lewiston Lake,Lewiston,Reservoir,Lewiston Dam,327,Lewiston,0416-Central Valley Project-Trinity River Division,10-California-Great Basin,CGB,Instream Diversion (created by a diversion dam),"14,660","1,963",397,Lewiston Lake Dam and Powerplant ,California-Great Basin,Lewiston,Lewiston,Y,10798,4/1/64,12/16/25,22541,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Lost Creek,Lost Creek,Lost Creek Reservoir,Lost Creek Dam,,,FALSE,253,Reservoirs,Lost Creek Reservoir,Lost Creek,Reservoir,Lost Creek Dam,340,Lost Creek,0526-Weber Basin Project,7-Upper Colorado Basin,UCB,Instream Storage,"22,510","1,966",400,Lost Creek Reservoir and Dam,Upper Colorado Basin,Lost Creek,Lost Creek,Y,544,10/30/82,12/16/25,15755,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Lovewell,Lovewell,Lovewell Reservoir,Lovewell Dam,,,FALSE,257,Reservoirs,Lovewell Reservoir,Lovewell,Reservoir,Lovewell Dam,345,Lovewell,0271-Pick-Sloan Missouri Basin Program-Bostwick Division,5-Missouri Basin,MB/ART,Instream Storage,"86,131","1,957",404,Lovewell Reservoir and Dam,Missouri Basin,Lovewell,Lovewell,Y,556,1/1/76,12/16/25,14671,OK,OK,OK,TRUE,TRUE,
