SiteName,Lat,Lon,State,DoiRegion,Huc6,DataUnits,DataValue,DataDate,DateQueried,DataDateMax,DataDateP90,DataDateP75,DataDateP50,DataDateP25,DataDateP10,DataDateMin,DataDateAvg,DataValuePctMdn,DataValuePctAvg,StatsPeriod,MaxCapacity,PctFull,TeacupUrl,DataUrl,Comment
Lake Mead (Hoover Dam),36.0163,-114.7374,NV,Lower Colorado Basin,150100,af,8857330,02/03/2026,02/04/2026,25050700,22766920,20587375,15250400,11784325,10644260,10342700,16483010,0.5807932906677857,0.5373611979850768,10/1/1990 - 9/30/2020,30167000,0.2936099048629297,,,
Lake Havasu (Parker Dam),34.2964,-114.1385,AZ,Lower Colorado Basin,150301,af,499551,02/03/2026,02/04/2026,591058,574269.7,569557.75,556700,547569.5,533966.6,510100,556869.5666666667,0.8973432728579127,0.8970700320188684,10/1/1990 - 9/30/2020,590262,0.84632078636266606,,,
Lake Altus (Altus Dam),34.8865,-99.2958,OK,Arkansas-Rio Grande-Texas Gulf,111203,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,147925,,,,
Anderson Ranch Reservoir (Anderson Ranch Dam),43.3595096,-115.4501724,ID,Columbia-Pacific Northwest,170501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,474942,,,,
Arrowrock Reservoir (Arrowrock Dam),43.5952,-115.923,ID,Columbia-Pacific Northwest,170501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,272224,,,,
Beulah Reservoir (Agency Valley Dam),43.9117446,-118.154354,OR,Columbia-Pacific Northwest,170501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,59212,,,,
Lake Cascade (Cascade Dam),44.524997,-116.050279,ID,Columbia-Pacific Northwest,170501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,693000,,,,
Bully Creek Reservoir (Bully Creek Dam),44.0147313,-117.396898,OR,Columbia-Pacific Northwest,170501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,31600,,,,
Bumping Lake (Bumping Lake Dam),46.8712,-121.29936,WA,Columbia-Pacific Northwest,170300,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,35400,,,,
Deadwood Reservoir (Deadwood Dam),44.2932322,-115.6459458,ID,Columbia-Pacific Northwest,170501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,162000,,,,
Harry Strunk Lake (Medicine Creek Dam),40.3789,-100.2178,NE,Missouri Basin,102500,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,87361,,,,
Henry Hagg Lake (Scoggins Dam),45.4724,-123.19965,OR,Columbia-Pacific Northwest,170900,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,62216,,,,
Hugh Butler Lake (Red Willow Dam),40.3575,-100.6672,NE,Missouri Basin,102500,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,85070,,,,
Lake Como (Como Dam),46.0617,-114.2333,MT,Columbia-Pacific Northwest,170102,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,45326,,,,
Enders Reservoir (Enders Dam),40.4217,-101.5181,NE,Missouri Basin,102500,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,72958,,,,
Fort Cobb Reservoir (Fort Cobb Dam),35.1611,-98.4549,OK,Arkansas-Rio Grande-Texas Gulf,111303,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,133451,,,,
Foss Reservoir (Foss Dam),35.5472,-99.1837,OK,Arkansas-Rio Grande-Texas Gulf,111303,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,349303,,,,
Franklin D. Roosevelt Lake (Grand Coulee Dam),47.9566,-118.9805,WA,Columbia-Pacific Northwest,170200,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,9715346,,,,
Mann Creek Reservoir (Mann Creek Dam),44.392349,-116.895389,ID,Columbia-Pacific Northwest,170501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,12536,,,,
McKay Reservoir (McKay Dam),45.605406,-118.7957668,OR,Columbia-Pacific Northwest,170701,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,71534,,,,
Ochoco Reservoir (Ochoco Dam),44.29903,-120.72506,OR,Columbia-Pacific Northwest,170703,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,44248,,,,
Prineville Reservoir (Arthur R. Bowman Dam),44.11125,-120.78738,OR,Columbia-Pacific Northwest,170703,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,150216,,,,
