SiteName,Lat,Lon,State,DoiRegion,Huc6,DataUnits,DataValue,DataDate,DateQueried,DataDateMax,DataDateP90,DataDateP75,DataDateP50,DataDateP25,DataDateP10,DataDateMin,DataDateAvg,DataValuePctMdn,DataValuePctAvg,StatsPeriod,MaxCapacity,ActiveCapacity,PctFull,TeacupUrl,DataUrl,Comment
Currant Creek Reservoir (Currant Creek Dam),40.33841,-111.05821,UT,Upper Colorado Basin,140600,af,13054,04/10/1997,04/10/1997,15446.9,15159,15007.75,14915.5,14584.75,14329.65,13054,14758.563333333334,0.8751969427776474,0.8845034374393713,10/1/1990 - 9/30/2020,15671,1118,0.8330036372918129,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/310?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Davis Creek Reservoir (Davis Creek Dam),41.4047,-98.7078,NE,Missouri Basin,102100,af,24024.6,04/10/1997,04/10/1997,24024.6,17090.260000000002,12443.55,9187.78,8693.4,6878.702,5920.45,11097.765652173914,2.614842758533617,2.1648141394384086,10/1/1990 - 9/30/2020,31158,30986,0.77105719237435,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/311?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Deer Creek Reservoir (Deer Creek Dam),40.43511,-111.50035,UT,Upper Colorado Basin,160202,af,114207,04/10/1997,04/10/1997,149716,149416.2,139942.75,130170,120186.75,98200,65893,125891.5,0.8773680571560267,0.9071859498059838,10/1/1990 - 9/30/2020,153445,150161,0.7442862263351689,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/314?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Deerfield Lake (Deerfield Dam),44.0281,-103.7858,SD,Missouri Basin,101201,af,14677,04/10/1997,04/10/1997,15575,15419.5,15373.25,15090.2,14881.125,13148.5,11824,14761.343333333334,0.9726179904838902,0.9942862020462004,10/1/1990 - 9/30/2020,15654,15503,0.9375878369745752,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/315?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Edward Arthur Patterson Lake (Dickinson Dam),46.8697,-102.8269,ND,Missouri Basin,101302,af,8529,04/10/1997,04/10/1997,10703.8,9286.3,8901.75,8618.5,6057,4648.569,3074.67,7630.708666666666,0.9896153623020248,1.1177205647042132,10/1/1990 - 9/30/2020,8479,8041,1.0058969218068168,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/318?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
East Canyon Reservoir (East Canyon Dam),40.91017,-111.59293,UT,Upper Colorado Basin,160201,af,31138,04/10/1997,04/10/1997,48699,44945.5,42516,39211.5,32311.75,30453.699999999997,28421,37969.816666666666,0.7941037705775091,0.8200724347277597,10/1/1990 - 9/30/2020,51200,48110,0.6081640625,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/319?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Echo Reservoir (Echo Dam),40.9574,-111.4179,UT,Upper Colorado Basin,160201,af,26710,04/10/1997,04/10/1997,69563,66512.40000000001,60537.5,49482,40846.75,36006.3,26710,49650.3,0.5397922476860273,0.5379625097934957,10/1/1990 - 9/30/2020,73940,73940,0.36123884230457126,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/320?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Eden Reservoir (Eden Dikes),42.225,-109.3706,WY,Upper Colorado Basin,140401,af,5685,04/10/1997,04/10/1997,8768,8272.1,5763,4398.5,2082.25,1467.5,1418,4520.8,1.2924860747982267,1.257520792780039,10/1/1990 - 9/30/2020,14421,13164,0.3942167672144789,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/321?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Elephant Butte Reservoir (Elephant Butte Dam),33.22488,-107.17589,NM,Upper Colorado Basin,130202,af,1669710,04/10/1997,04/10/1997,1996600,1924042,1634017.5,526545.5,385938.5,287400.30000000005,221217,904071.7666666666,3.1710649886856883,1.8468777165293624,10/1/1990 - 9/30/2020,2357104,2010900,0.708373495611564,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/323?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
El Vado Reservoir (El Vado Dam),36.5948,-106.7366,NM,Upper Colorado Basin,130201,af,99562,04/10/1997,04/10/1997,155681,142109.5,127691.25,105950.5,49642.75,28851.5,15001,91675.29333333332,0.939702974502244,1.0860287039168826,10/1/1990 - 9/30/2020,214091,191050,0.4650452377727228,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/324?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
